what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1409370963997
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1409370963997
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1409370963997
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1409370963997
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1409370963997
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1409370963997
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1409370963997
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1409370963997
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1409370963997
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1409370963997
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1409370963998
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1409370963998
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1409370963998
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1409370963998
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1409370963998
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1409370963998
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1409370963998
os,sysinfo,,,"win32",1409370964005
arch,sysinfo,,,"x86",1409370964005
ws,sysinfo,,,"win32",1409370964005
locale,sysinfo,,,"en_US",1409370964005
processors,sysinfo,,,"4",1409370964005
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409370964005
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1409370964005
java.specification.name,sysinfo,,,"Java Platform API Specification",1409370964005
java.specification.vendor,sysinfo,,,"Oracle Corporation",1409370964005
java.specification.version,sysinfo,,,"1.7",1409370964005
java.vendor,sysinfo,,,"Oracle Corporation",1409370964005
java.version,sysinfo,,,"1.7.0_55",1409370964005
java.vm.info,sysinfo,,,"mixed mode, sharing",1409370964005
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1409370964005
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409370964005
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1409370964005
java.vm.specification.version,sysinfo,,,"1.7",1409370964005
java.vm.vendor,sysinfo,,,"Oracle Corporation",1409370964005
java.vm.version,sysinfo,,,"24.55-b03",1409370964005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409371277614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409371489181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409371496788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409371566052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1409371566068
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409371581108
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1409371581116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409371582328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409372151288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409372151628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409372697529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409372738210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409380370741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409380372264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409385866049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409385870901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409385997039
